id,texto
1,"En Argentina, el vino continuará siendo un producto de consumo masivo. "
2,El consumo nacional de vino seguirá disminuyendo generando sobreoferta.
3,"El vino seguirá siendo la bebida cotidiana de la mesa familiar, de la mesa fuera del hogar y otras ocasiones. "
4,"El vino ganará ocasiones de consumo (la noche, la coctelería, la ""previa"") con nuevos productos autorizados. "
5,"Los vinos masivos (tetra, finitos y precio medio bajo) continuarán siendo el sostén del volumen consumido a nivel nacional. "
6,El segmento de vinos masivos se mantendrá concentrado en pocos jugadores. 
7,"El vino se comercializará principalmente en canales cortos de comercialización a través del ""Direct to Consumer"" (DtC), E-commerce y la creación de nuevos operadores (como ""LibDib"")."
8,El mercado de uvas básicas para vinificar (ej. Criollas y Cerezas) será cada vez más pequeño y con pocos compradores. 
9,El mercado de uvas varietales para vinificar será cada vez más grande y con pocos compradores. 
10,El mercado de vinos genéricos (ej. tinto genérico y blanco escurrido) será cada vez más pequeño y con pocos compradores. 
11,"El mercado de vinos varietales, elaborados por cuenta de terceros, será cada vez más grande y con pocos compradores. "
12,"El jugo de uva se utilizará como edulcorante producto de la tendencia alimento-salud, y de su precio relativo. "
13,Se desarrollarán nuevos productos vínicos para segmentos específicos de consumidores. 
14,Se desarrollarán vinos y productos vínicos con menor graduación alcohólica. 
15,"El vino recuperará la refrescancia, especialmente en el consumo de blancos y rosados. "
16,"Se incrementará la calidad del segmento de vinos ""finitos"". "
17,Se incrementará el consumo interno de jugo natural de uva.
18,"Se diseñarán nuevos envases, formas de presentación y tamaños (copa individual, doypack, minitetra, bag in box, botellón y otros) para reducir los impactos ambientales asociados al ciclo de vida del vino."
19,"Se incrementarán las inversiones en comunicación genérica en internet, redes sociales, y en el punto de venta. "
20,"El vino llegará con un mensaje simple, inclusivo y amigable a mayor número y segmentos de consumidores. "
21,"En Argentina, se consolidará la planificación para el desarrollo de enodestinos sustentables, en articulación público-privada, para acordar metas, objetivos e implementar líneas de acción. "
22,"Se mejorará y generará la infraestructura y logística necesarias de aeropuertos, y caminos para facilitar el acceso de turistas a las regiones vitivinícolas argentinas."
23,Se incorporarán nuevos enodestinos como producto del auge de nuevas regiones vitivinícolas no tradicionales. 
24,Aumentará considerablemente el ingreso de turistas (extranjeros y nacionales) a las regiones vitivinícolas del país. 
25,Aumentará considerablemente la cantidad de establecimientos vitivinícolas con apertura al turismo que permita incrementar su participación en el esquema de ingresos de dichas empresas.
26,"El enoturismo se consolidará como un medio para comunicar el vino, tanto en el mercado interno como en el exterior. "
27,Se implementarán sistemas de gestión de calidad en los prestadores de servicios de enoturismo.
28,"La promoción del vino se vinculará, también, con estrategias de promoción de productos complementarios (gastronomía, estilo de vida, salud, turismo)."
29,El enoturismo argentino dispondrá de oferta diversificada que incluya la participación de las pequeñas y medianas empresas vitivinícolas. 
30,"Las TIC´s, proporcionarán nuevas herramientas para la comercialización y nuevas experiencias de los turistas.     "
31,"Se ampliarán los espacios de concertación con nuevas organizaciones representativas de la cadena productiva (comercializadores, consejos profesionales, proveedores de bienes y servicios, organismos de ciencia y tecnología y sindicatos) a efectos de generar mayores consensos estructurales."
32,Aumentará la importancia de los espacios de concertación institucionalizados para formular demandas a los diferentes niveles de gobierno.
33,Aumentará la participación de la institucionalidad privada de provincias vitivinícolas no tradicionales.
34,"Se modificará la representación de los actores institucionalizados por provincias y por eslabón de la cadena, manteniendo su diversidad."
35,Se profundizará la participación pasiva de los socios de las entidades vitivinícolas.
36,"Aumentará la incidencia del sector privado organizado, en las políticas sectoriales."
37,"Se generarán nuevos líderes, en las entidades vitivinícolas, provenientes de una nueva generación con perfil ejecutivo."
38,"Se implementarán estrategias de marketing efectivas como parte de las políticas diseñadas e implementadas desde los espacios de concertación privado, a fin de atender a los cambios culturales y a las demandas de una nueva generación de consumidores."
39,"Se mantendrá la regulación de los gobiernos provinciales (por ejemplo, de excedentes de uvas comunes)."
40,"Se flexibilizará la normativa con respecto a la incorporación de agua exógena, vinificaciones diferidas, baja de graduación alcohólica, trámites, elaboración artesanal, etc."
